# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 16:40:09 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_trandur:     Transit Duration [hours]
#
pl_name,pl_orbper,pl_rade,pl_trandur
EPIC 206032309 b,2.87814000,1.010,
EPIC 206042996 b,5.29860000,1.700,
EPIC 206042996 c,0.35488400,1.200,
EPIC 206215704 b,2.25543600,1.000,
EPIC 206317286 b,1.58252000,0.960,
EPIC 206317286 c,17.51547200,2.094,
EPIC 211822797 b,21.17019630,1.920,
EPIC 211945201 b,19.49221000,5.760,
EPIC 212297394 b,2.28936300,1.480,1.8800000
EPIC 212297394 c,5.21396500,2.270,2.6200000
EPIC 212424622 b,18.09830000,2.170,
EPIC 212499991 b,34.88500000,1.600,
EPIC 212587672 b,15.28078000,1.260,3.4600000
EPIC 212587672 c,23.22855500,2.320,3.2500000
EPIC 212624936 b,0.57865700,1.200,
EPIC 212624936 c,11.81143700,2.300,
EPIC 212737443 b,13.60300000,2.586,2.9760000
EPIC 212737443 c,65.55000000,2.690,4.6080000
EPIC 220492298 b,0.76240600,0.990,
EPIC 220554210 c,0.70531000,1.600,
EPIC 220674823 b,0.57129200,1.725,
EPIC 220674823 c,13.33970000,2.836,
EPIC 228836835 b,0.72811300,1.100,
EPIC 229004835 b,16.14113200,2.332,
EPIC 246851721 b,6.18023500,11.781,4.1080800
EPIC 248847494 b,3650.00000000,12.442,53.6000000
EPIC 249893012 b,3.59510000,1.950,4.3300000
EPIC 249893012 c,15.62400000,3.670,6.3700000
EPIC 249893012 d,35.74700000,3.940,9.5600000
G 9-40 b,5.74600700,2.025,1.3368000
GJ 1132 b,1.62892911,1.192,0.7664600
GJ 1214 b,1.58040453,2.733,0.8696600
GJ 1252 b,0.51823310,1.193,
GJ 143 b,35.61253000,2.610,3.2300000
GJ 238 b,1.74469990,0.566,1.2390000
GJ 3090 b,2.85310540,2.130,1.2810000
GJ 3470 b,3.33664960,4.570,
GJ 3473 b,1.19800350,1.264,0.9500000
GJ 357 b,3.93060000,1.200,1.2910000
GJ 367 b,0.32192250,0.699,0.6290000
GJ 3929 b,2.61623500,1.090,1.1900000
GJ 436 b,2.64388312,4.170,
GJ 486 b,1.46712127,1.289,1.0158000
GJ 806 b,0.92632370,1.331,0.9300000
GJ 9827 b,1.20897400,1.440,
GJ 9827 c,3.64810300,1.130,
GJ 9827 d,6.20181200,1.890,
GPX-1 b,1.74457900,16.477,2.0900000
Gaia-1 b,3.05252400,13.776,
Gaia-2 b,3.69152240,14.818,
Gliese 12 b,12.76140800,0.958,1.2000000
HAT-P-1 b,4.46529976,14.785,2.8500000
HAT-P-11 b,4.88780244,4.360,
HAT-P-12 b,3.21305980,10.749,2.3376000
HAT-P-13 b,2.91625000,14.258,
HAT-P-14 b,4.62767000,15.917,
HAT-P-15 b,10.86350000,11.882,
HAT-P-16 b,2.77596000,14.448,3.0624000
HAT-P-17 b,10.33852000,11.769,
HAT-P-18 b,5.50802300,11.153,2.7144000
HAT-P-19 b,4.00878322,11.299,
HAT-P-2 b,5.63351580,,
HAT-P-20 b,2.87531700,9.718,1.8480000
HAT-P-21 b,4.12448000,12.442,
HAT-P-22 b,3.21222000,12.890,
HAT-P-23 b,1.21288400,15.334,2.1792000
HAT-P-24 b,3.35524000,14.572,
HAT-P-25 b,3.65281514,12.722,2.8130400
HAT-P-26 b,4.23452000,7.062,
HAT-P-27 b,3.03957700,11.430,1.6800000
HAT-P-28 b,3.25721500,13.585,3.2184000
HAT-P-29 b,5.72319000,13.115,
HAT-P-3 b,2.89970000,10.536,
HAT-P-30 b,2.81060000,16.141,
HAT-P-31 b,5.00542000,12.218,
HAT-P-32 b,2.15000820,22.194,3.1204800
HAT-P-33 b,3.47447000,20.737,
HAT-P-34 b,5.45265400,13.417,
HAT-P-35 b,3.64670600,14.930,
HAT-P-36 b,1.32734683,14.314,2.2320000
HAT-P-37 b,2.79743600,13.204,2.3304000
HAT-P-38 b,4.64038200,9.247,3.0408000
HAT-P-39 b,3.54387000,17.609,4.1880000
HAT-P-4 b,3.05653600,14.280,
HAT-P-40 b,4.45724000,17.038,
HAT-P-41 b,2.69405000,22.978,
HAT-P-42 b,4.64187800,14.348,4.0344000
HAT-P-43 b,3.33264140,13.630,
HAT-P-44 b,4.30121900,13.922,3.1248000
HAT-P-45 b,3.12899200,15.984,3.4464000
HAT-P-46 b,4.46312900,14.392,3.0984000
HAT-P-49 b,2.69155000,17.822,
HAT-P-5 b,2.78849000,13.563,
HAT-P-50 b,3.12201090,14.437,3.6744000
HAT-P-51 b,4.21802091,13.507,
HAT-P-52 b,2.75359530,11.310,2.4072000
HAT-P-53 b,1.96162410,14.773,2.7936000
HAT-P-54 b,3.79984700,10.581,
HAT-P-55 b,3.58523130,14.841,
HAT-P-56 b,2.79083000,16.926,
HAT-P-57 b,2.46530000,19.504,
HAT-P-58 b,4.01383790,14.930,4.1500000
HAT-P-59 b,4.14197710,12.588,2.3390000
HAT-P-6 b,3.85298000,16.589,
HAT-P-60 b,4.79478130,18.282,5.0350000
HAT-P-61 b,1.90231289,10.077,1.6580000
HAT-P-62 b,2.64532350,12.027,3.1030000
HAT-P-63 b,3.37772800,12.543,2.9330000
HAT-P-64 b,4.00723200,19.089,4.9250000
HAT-P-65 b,2.60544751,18.058,
HAT-P-66 b,2.97208600,17.822,4.6992000
HAT-P-67 b,4.81010250,23.371,6.9888000
HAT-P-68 b,2.29840551,12.016,2.0868000
HAT-P-69 b,4.78694910,18.786,5.1264000
HAT-P-7 b,2.20474000,16.926,
HAT-P-70 b,2.74432452,20.961,3.4800000
HAT-P-8 b,3.07634000,15.693,
HAT-P-9 b,3.92281072,15.614,3.3600000
HATS-1 b,3.44645900,14.594,2.4168000
HATS-10 b,3.31284600,10.862,3.0072000
HATS-11 b,3.61918800,18.030,
HATS-12 b,3.14270200,7.760,
HATS-13 b,3.04404990,13.585,2.6347200
HATS-14 b,2.76676410,11.646,2.6421600
HATS-15 b,1.74748753,12.386,2.2696800
HATS-16 b,2.68650200,14.572,2.6208000
HATS-17 b,16.25461100,8.709,4.8264000
HATS-18 b,0.83784000,14.897,1.9440000
HATS-2 b,1.35413379,12.576,
HATS-22 b,4.72281240,10.682,2.1912000
HATS-23 b,2.16051560,20.849,1.8048000
HATS-24 b,1.34849780,15.637,
HATS-25 b,4.29864320,14.123,3.2040000
HATS-26 b,3.30238810,19.616,5.2152000
HATS-27 b,4.63703800,16.814,4.8312000
HATS-28 b,3.18107810,13.384,2.3544000
HATS-29 b,4.60587490,14.022,3.2112000
HATS-3 b,3.54785100,15.480,3.5856000
HATS-30 b,3.17435160,13.171,2.7504000
HATS-31 b,3.37796000,18.383,4.5936000
HATS-32 b,2.81265480,14.000,2.8536000
HATS-33 b,2.54955510,13.787,2.6760000
HATS-34 b,2.10616070,16.029,1.5552000
HATS-35 b,1.82099930,16.410,3.1176000
HATS-36 b,4.17518600,12.920,
HATS-37 A b,4.33153660,6.793,2.9136000
HATS-38 b,4.37502100,6.882,3.2160000
HATS-39 b,4.57763480,17.598,3.7320000
HATS-4 b,2.51672900,11.433,2.5272000
HATS-40 b,3.26427360,17.710,5.3304000
HATS-41 b,4.19364900,14.908,2.1960000
HATS-42 b,2.29210200,15.693,3.2664000
HATS-43 b,4.38884970,13.227,2.9884800
HATS-44 b,2.74390040,11.960,1.6512000
HATS-45 b,4.18762440,14.415,3.0456000
HATS-46 b,4.74237290,10.122,2.4336000
HATS-47 b,3.92280380,12.520,2.0023200
HATS-48 A b,3.13166660,8.967,2.3457600
HATS-49 b,4.14804670,8.575,2.3460000
HATS-5 b,4.76338700,10.223,2.9856000
HATS-50 b,3.82970150,12.666,3.0792000
HATS-51 b,3.34887020,15.805,3.3216000
HATS-52 b,1.36665436,15.491,2.0904000
HATS-53 b,3.85377680,15.020,3.5064000
HATS-54 b,2.54417650,11.377,2.4680000
HATS-55 b,4.20420010,14.022,2.7837600
HATS-56 b,4.32479900,18.921,4.6416000
HATS-57 b,2.35062100,12.767,2.4885600
HATS-58 A b,4.21808960,12.274,3.1800000
HATS-59 b,5.41608100,12.621,3.5928000
HATS-6 b,3.32527250,11.187,2.0409600
HATS-60 b,3.56082900,12.924,3.8592000
HATS-61 b,7.81795300,13.395,5.5296000
HATS-62 b,3.27688370,11.825,2.7652800
HATS-63 b,3.05665270,13.529,2.4480000
HATS-64 b,4.90889700,18.820,5.8056000
HATS-65 b,3.10516100,16.825,2.8848000
HATS-66 b,3.14143910,15.816,4.5432000
HATS-67 b,1.60917880,18.887,1.9464000
HATS-68 b,3.58622020,13.809,3.4200000
HATS-69 b,2.22525770,10.593,2.3577600
HATS-7 b,3.18531500,6.311,2.2992000
HATS-70 b,1.88823780,15.513,3.6240000
HATS-71 b,3.79552020,11.478,2.0148000
HATS-72 b,7.32794740,8.097,3.0847200
HATS-74 A b,1.73185606,11.568,1.6533600
HATS-75 b,2.78865560,9.909,1.9125600
HATS-76 b,1.94164230,12.094,1.8576000
HATS-77 b,3.08762620,13.058,2.2276800
HATS-8 b,3.58389300,9.785,3.0312000
HATS-9 b,1.91529100,13.850,
HD 106315 b,9.55237000,2.440,3.7750000
HD 106315 c,21.05704000,4.350,4.6380000
HD 108236 b,3.79596300,1.615,2.3840000
HD 108236 c,6.20344900,2.071,2.8600000
HD 108236 d,14.17568500,2.539,3.8500000
HD 108236 e,19.59002500,3.083,4.2000000
HD 108236 f,29.54115000,2.017,3.2700000
HD 109833 b,9.18852600,2.888,
HD 109833 c,13.90014800,2.590,
HD 110067 b,9.11367800,2.200,3.0948000
HD 110067 c,13.67369400,2.388,3.7044000
HD 110067 d,20.51961700,2.852,3.8177000
HD 110067 e,30.79309100,1.940,4.8636000
HD 110067 f,41.05854000,2.601,5.1650000
HD 110067 g,54.76992000,2.607,5.6660000
HD 110082 b,10.18271000,3.200,2.9100000
HD 110113 b,2.54100000,2.050,2.3760000
HD 110113 c,6.74400000,,
HD 111232 b,1169.13202000,,
HD 114082 b,109.75000000,11.209,
HD 118203 b,6.13498900,12.554,5.6380000
HD 132406 b,908.00000000,,
HD 135694 b,15.92346000,2.532,4.3338951
HD 136352 b,11.57797000,1.664,3.9350000
HD 136352 c,27.59221000,2.916,3.2510000
HD 136352 d,107.24500000,2.562,8.8700000
HD 137496 b,1.62116000,1.310,3.2800000
HD 1397 b,11.53533000,11.500,8.6016000
HD 142 b,351.43394000,,
HD 149026 b,2.87589000,8.295,
HD 152843 b,11.62640000,3.410,5.5300000
HD 152843 c,24.38000000,5.830,6.3590000
HD 15337 b,4.75615000,1.640,2.4900000
HD 15337 c,17.17840000,2.390,2.2500000
HD 158259 b,2.17800000,,
HD 15906 b,10.92470900,2.240,1.8000000
HD 15906 c,21.58329800,2.930,2.1900000
HD 164604 b,641.47200000,,
HD 17156 b,21.21663000,12.330,
HD 175167 b,1175.00000000,,
HD 183579 b,17.47129100,3.490,4.3060000
HD 18599 b,4.13743540,2.600,2.0600000
HD 189733 b,2.21857567,12.666,
HD 191939 b,8.88032560,3.410,2.9390000
HD 191939 c,28.57974300,3.195,4.1620000
HD 191939 d,38.35303700,2.995,5.3600000
HD 202772 A b,3.30895800,17.318,5.6304000
HD 20329 b,0.92611800,1.720,1.2600000
HD 207496 b,6.44100800,2.250,1.7620000
HD 207897 b,16.20166000,2.343,2.9048422
HD 209458 b,3.52474859,15.581,
HD 213885 b,1.00803500,1.745,
HD 21520 b,25.12920000,2.697,4.8850000
HD 21749 c,7.78993000,0.892,2.5150000
HD 219134 b,3.09292600,1.602,0.9450000
HD 219134 c,6.76458000,1.511,1.6600000
HD 219666 b,6.04345000,4.240,2.0280000
HD 221416 b,14.27670000,9.170,
HD 22946 d,47.42489000,2.607,6.4820000
HD 23472 b,17.66708700,2.000,2.6700000
HD 23472 c,29.79749000,1.870,2.9400000
HD 23472 d,3.97664000,0.750,1.9900000
HD 23472 e,7.90754000,0.818,2.4800000
HD 23472 f,12.16218390,1.137,2.8200000
HD 235088 b,7.43415100,2.075,2.6733754
HD 25463 b,7.04914230,2.545,3.3487071
HD 25463 c,3.04405000,1.364,1.3514496
HD 260655 b,2.76953000,1.240,1.1500000
HD 260655 c,5.70588000,1.533,0.9800000
HD 2685 b,4.12688000,16.141,
HD 28109 b,22.89104000,2.199,5.3920000
HD 28109 c,56.00819000,4.230,8.9730000
HD 28109 d,84.25999000,3.250,10.1300000
HD 3167 b,0.95964100,1.670,
HD 3167 c,29.84540000,3.000,
HD 332231 b,18.71202400,9.073,6.1681657
HD 42813 b,13.63082050,3.410,4.3270000
HD 5278 b,14.33915600,2.450,4.8000000
HD 56414 b,29.04992000,3.710,7.5800000
HD 6061 b,5.25490000,2.428,3.2395980
HD 63433 b,7.10793840,2.164,3.2441716
HD 63433 c,20.54384700,2.582,4.0722142
HD 63433 d,4.20907500,1.073,2.5850000
HD 63935 b,9.05880700,2.916,3.7026559
HD 63935 c,21.40270000,3.065,5.4205342
HD 72490 b,858.00000000,,
HD 73344 b,15.61100000,2.884,3.3040000
HD 73583 b,6.39804200,2.790,2.1430000
HD 73583 c,18.87974000,2.390,3.6700000
HD 77946 b,6.52736300,2.896,2.9756716
HD 80606 b,111.43670000,11.994,
HD 80653 b,0.71957300,1.613,
HD 81040 b,1004.70000000,,
HD 86226 c,3.98442000,2.160,3.1200000
HD 88986 b,146.05000000,2.490,
HD 89345 b,11.81430000,7.398,5.7336000
HD 93963 A b,1.03761090,1.470,1.8155952
HD 93963 A c,3.64513890,3.120,2.3643117
HD 95338 b,55.08700000,3.890,
HD 97658 b,9.48971160,2.120,
HIP 113103 b,7.61030300,1.829,2.1384000
HIP 113103 c,14.24564800,2.400,4.2336000
HIP 116454 b,9.10041570,2.469,2.4310000
HIP 29442 c,3.53795590,1.551,2.4290000
HIP 29442 d,6.42957500,1.538,3.0800000
HIP 41378 b,15.57209800,,
HIP 41378 c,31.70648000,,
HIP 41378 d,1114.00000000,,
HIP 41378 e,,,
HIP 41378 f,1084.00000000,,
HIP 65 A b,0.98097340,22.754,0.7857600
HIP 67522 b,6.95947310,9.987,4.8500000
HIP 67522 c,14.33489200,7.936,5.6600000
HIP 8152 b,10.75101400,2.536,2.9954278
HIP 8152 c,19.60562000,2.524,4.3834080
HIP 94235 b,7.71305700,3.000,2.4700000
HIP 9618 b,20.77285800,3.828,4.9427299
HIP 9618 c,52.56363000,3.429,6.5715569
HIP 97166 b,10.28891400,2.480,1.5329366
HR 810 b,302.79999000,,
HR 858 b,3.58599000,2.085,2.7096000
HR 858 c,5.97293000,1.939,2.9016000
HR 858 d,11.23000000,2.164,3.4344000
K2-10 b,19.30440000,3.840,
K2-100 b,1.67390350,3.880,
K2-101 b,14.67624290,2.000,
K2-102 b,9.91561500,1.300,2.6600000
K2-104 b,1.97419540,1.790,
K2-105 b,8.26699280,3.590,
K2-107 b,3.31395900,15.980,
K2-108 b,4.73399900,5.330,
K2-11 b,39.93767000,7.550,
K2-110 b,13.86375000,2.592,
K2-111 b,5.35180000,1.820,
K2-113 b,5.81768500,12.140,
K2-114 b,11.39093110,10.447,3.9700000
K2-115 b,20.27261500,12.060,
K2-116 b,4.65541100,0.690,
K2-117 b,1.29160000,2.030,
K2-117 c,5.44401700,2.060,
K2-118 b,50.92092000,2.540,
K2-119 b,7.72728300,2.530,
K2-12 b,8.28246000,2.440,
K2-120 b,9.56274200,2.010,
K2-121 b,5.18575390,7.520,
K2-122 b,2.21930230,1.160,
K2-123 b,30.95152400,2.760,
K2-124 b,6.41365100,2.900,1.6800000
K2-125 b,21.75026400,2.180,
K2-126 b,7.38565500,1.970,
K2-127 b,3.58816300,8.370,
K2-128 b,5.67581900,1.420,
K2-129 b,8.23949300,1.040,
K2-13 b,39.91488000,1.890,
K2-130 b,2.49412000,1.250,
K2-131 b,0.36930380,1.690,
K2-132 b,9.17510000,14.572,
K2-133 b,3.07133000,1.340,
K2-133 c,4.86784000,1.603,
K2-133 d,11.02454000,2.003,
K2-133 e,26.58410000,1.730,1.4400000
K2-136 b,7.97520000,1.014,2.6700000
K2-136 c,17.30713000,3.000,3.4490000
K2-136 d,25.57500000,1.565,3.0400000
K2-137 b,0.17971900,0.640,
K2-138 b,2.35309000,1.510,2.0100000
K2-138 c,3.56004000,2.299,2.3800000
K2-138 d,5.40479000,2.390,2.7000000
K2-138 e,8.26146000,3.390,2.9700000
K2-138 f,12.75758000,2.904,3.2000000
K2-138 g,41.96797000,3.013,4.7500000
K2-139 b,28.38061900,9.110,
K2-14 b,8.36802000,4.810,
K2-140 b,6.56918800,13.563,3.8100000
K2-141 b,0.28032440,1.510,
K2-141 c,7.74850000,7.000,
K2-146 b,2.64460000,2.050,
K2-146 c,4.00498000,2.190,
K2-147 b,0.96191800,0.730,
K2-148 b,4.38395000,1.330,
K2-148 c,6.92260000,1.730,
K2-148 d,9.75790000,1.640,
K2-149 b,11.33200000,1.640,
K2-15 b,11.81040000,2.480,
K2-150 b,10.59357000,2.000,
K2-151 b,3.83547600,1.490,
K2-152 b,32.64790000,2.290,4.0000000
K2-153 b,7.51574000,2.000,2.3000000
K2-154 b,3.67626000,1.990,1.7000000
K2-154 c,7.95486000,2.070,2.1000000
K2-155 b,6.34200000,1.800,2.4096000
K2-155 c,13.85000000,2.600,3.5280000
K2-155 d,40.71800000,1.900,4.4640000
K2-156 b,0.81314300,1.100,
K2-157 b,0.36526100,1.000,
K2-158 b,10.06049000,2.640,3.8000000
K2-158 c,5.90279000,1.280,5.0000000
K2-159 b,12.42205000,2.260,3.3000000
K2-16 b,7.61880000,2.020,2.4870000
K2-16 c,19.07863000,2.540,3.8590000
K2-160 b,3.70587100,3.178,
K2-161 b,9.28318800,6.117,
K2-162 b,9.45889000,1.440,3.0000000
K2-163 b,6.67311700,2.466,
K2-164 b,17.35506600,3.249,
K2-165 b,2.35499200,1.274,
K2-165 c,4.38274500,1.554,
K2-165 d,14.10136100,2.648,
K2-166 b,8.52695000,2.190,3.7000000
K2-167 b,9.97748000,2.300,
K2-168 b,15.85230000,1.860,
K2-169 b,6.38080300,1.273,
K2-17 b,17.96753000,2.230,
K2-170 b,7.57654400,1.418,
K2-170 c,12.40004700,1.802,
K2-171 b,5.62846600,2.687,
K2-172 b,14.31694100,1.666,
K2-172 c,29.62682000,3.206,
K2-173 b,5.86869900,1.608,
K2-174 b,19.56230700,2.600,5.8080000
K2-175 b,9.52598800,2.038,
K2-176 b,5.32943900,1.491,
K2-177 b,14.15518500,2.116,
K2-178 b,8.74781800,3.558,
K2-179 b,5.17219100,2.513,
K2-18 b,32.93962300,2.370,
K2-180 b,8.86565110,2.520,
K2-181 b,6.89425600,2.840,
K2-182 b,4.73696830,2.690,2.5610000
K2-183 b,0.46928500,1.100,
K2-183 c,10.78799200,2.300,
K2-183 d,22.62034400,2.300,
K2-184 b,16.97801020,1.470,
K2-185 b,10.61638400,1.150,2.6000000
K2-185 c,52.71349400,2.390,4.6400000
K2-186 b,41.47421900,3.172,
K2-187 b,0.77401000,1.200,
K2-187 c,2.87151200,1.400,
K2-187 d,7.14958400,2.400,
K2-187 e,13.60662900,1.900,
K2-188 b,1.74216900,1.350,
K2-188 c,7.81025300,2.830,
K2-189 b,2.58830900,1.520,
K2-189 c,6.67919500,2.500,
K2-19 b,7.92220000,7.000,
K2-19 c,11.89930000,4.100,
K2-19 d,2.50810000,1.110,
K2-190 b,10.09885800,1.357,
K2-190 c,21.57402300,1.093,
K2-191 b,2.85864600,1.579,
K2-192 b,4.16281700,1.520,
K2-193 b,14.78688900,3.950,
K2-194 b,39.72138600,3.642,
K2-195 b,15.85297500,3.130,
K2-195 c,28.48278600,2.576,
K2-196 b,48.32422200,3.600,
K2-197 b,8.35788100,2.560,
K2-198 b,17.04286830,4.189,
K2-198 c,3.35960550,1.423,
K2-198 d,7.45001770,2.438,
K2-199 b,3.22539930,1.730,2.0170000
K2-199 c,7.37448970,2.850,2.4520000
K2-200 b,2.84988300,1.364,
K2-201 b,1.05979000,1.400,
K2-201 c,22.77987800,3.286,
K2-202 b,3.40516400,2.302,
K2-203 b,9.69510100,1.371,
K2-204 b,7.05578400,3.046,
K2-205 b,26.67226300,1.996,
K2-206 b,18.29454900,2.795,
K2-207 b,12.48749000,2.606,
K2-208 b,4.19094800,1.679,
K2-209 b,2.08061500,0.869,
K2-21 b,9.32503800,1.840,
K2-21 c,15.50192000,2.490,
K2-210 b,0.57023000,0.860,
K2-211 b,0.66953200,1.300,
K2-212 b,9.79564700,2.650,
K2-213 b,8.13087000,1.514,
K2-214 b,8.59680200,2.430,
K2-215 b,8.26964800,2.124,
K2-216 b,2.17480000,1.750,1.8400000
K2-217 b,14.07452400,3.579,
K2-218 b,8.67988500,2.569,
K2-219 b,3.90128700,1.348,
K2-219 c,6.66767000,1.438,
K2-219 d,11.13727800,2.576,
K2-22 b,0.38107300,2.300,
K2-220 b,13.68325600,2.390,
K2-221 b,2.39909400,1.679,
K2-222 b,15.38857000,2.350,
K2-223 b,0.50557000,0.890,
K2-223 c,4.56254600,1.500,
K2-224 b,4.47904000,1.560,2.4000000
K2-224 c,10.09489000,2.410,3.6000000
K2-225 b,15.87209000,3.490,4.6000000
K2-226 b,3.27108000,1.540,2.4000000
K2-227 b,13.62183200,1.666,
K2-228 b,2.69828000,1.210,1.5000000
K2-229 b,0.58421600,1.000,
K2-229 c,8.32727000,2.030,2.5000000
K2-230 b,2.86041000,1.960,2.6000000
K2-231 b,13.84190100,2.500,2.9400000
K2-232 b,11.16845400,11.209,
K2-233 b,2.46750000,1.343,1.9880000
K2-233 c,7.06005000,1.281,2.7960000
K2-233 d,24.36450000,2.358,3.8380000
K2-237 b,2.18053539,16.197,2.9278000
K2-238 b,3.20466000,14.572,
K2-239 b,5.24000000,1.100,1.4664000
K2-239 c,7.77500000,1.000,1.2480000
K2-239 d,10.11500000,1.100,1.8384000
K2-24 b,20.88977000,5.400,
K2-24 c,42.33910000,7.500,
K2-240 b,6.03400000,2.000,2.1528000
K2-240 c,20.52300000,1.800,3.1920000
K2-241 b,26.81990000,2.550,4.1000000
K2-242 b,6.51389000,2.540,2.0000000
K2-243 b,11.54182000,2.170,3.7000000
K2-243 c,24.94598000,2.010,5.2000000
K2-244 b,21.06884000,1.750,3.9000000
K2-245 b,11.89307000,4.340,4.2000000
K2-246 b,5.76918000,3.490,3.4000000
K2-247 b,2.25021000,2.120,1.2000000
K2-247 c,6.49424000,2.190,1.7000000
K2-248 b,7.17256000,2.570,2.8000000
K2-249 b,12.40900000,2.790,5.9000000
K2-25 b,3.48456408,3.440,0.7637000
K2-250 b,4.01457000,2.440,2.4000000
K2-251 b,9.30075000,2.350,2.7000000
K2-252 b,13.81513000,1.740,3.6000000
K2-253 b,4.00167000,12.670,2.1000000
K2-254 b,4.09639000,1.630,1.6000000
K2-254 c,12.11839000,2.190,2.4000000
K2-255 b,1.96417000,2.900,1.1000000
K2-257 b,1.60588000,0.830,1.3000000
K2-258 b,19.09210000,3.000,6.0000000
K2-259 b,15.48043000,2.320,4.2000000
K2-26 b,14.56650000,2.670,4.7300000
K2-260 b,2.62666570,17.396,4.1676000
K2-261 b,11.63347800,9.528,5.1380000
K2-263 b,50.81894700,2.410,
K2-264 b,5.84000200,2.231,1.8840000
K2-264 c,19.66030200,2.668,2.6180000
K2-265 b,2.36917200,1.710,2.2660000
K2-266 b,0.65852400,3.300,0.3333600
K2-266 c,7.81400000,0.705,2.2560000
K2-266 d,14.69700000,2.930,3.4080000
K2-266 e,19.48200000,2.730,3.6648000
K2-268 b,2.15167600,1.500,1.9700000
K2-268 c,9.32752700,2.690,3.3500000
K2-268 d,4.52859800,1.490,2.5700000
K2-268 e,6.13124300,1.330,2.5400000
K2-268 f,26.27057000,2.230,4.6200000
K2-269 b,4.14496500,1.570,
K2-27 b,6.77131500,4.480,
K2-270 b,1.54306900,1.380,
K2-270 c,4.40002800,2.950,
K2-271 b,8.56242100,7.280,
K2-272 b,14.45367560,3.130,
K2-273 b,11.71956630,3.050,
K2-274 b,14.13303140,2.080,
K2-275 b,3.28096260,2.340,
K2-275 c,8.43883850,2.210,
K2-276 b,18.71826900,3.770,
K2-277 b,6.32676300,2.070,
K2-278 b,3.33496600,2.980,
K2-279 b,7.12260500,1.210,
K2-28 b,2.26045500,2.320,
K2-280 b,19.89526000,7.500,8.2670000
K2-281 b,8.68772100,8.180,
K2-282 b,4.16978300,2.500,
