# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 16:20:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_rade,pl_masse,pl_eqt,sy_dist
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,,,4131.79000,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,,,7786.50000,,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,,16.141,4417.83700,,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,0,Imaging,,,3686.80952,,66.0613000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,0,Imaging,,,5720.91133,2369,117.4350000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,,,2383.60000,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,0,Imaging,,,8899.19540,2677,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,0,Imaging,,,6356.56814,2506,100.8620000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,,,1589.15000,1250,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,406.00000000,,,,396.3320000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,0,Imaging,,,3813.94088,1616,34.1154000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,,,3972.87500,,69.5737000
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,335.10001000,,,,44.6570000
4 UMa b,4 UMa,1,1,0,Radial Velocity,270.27000000,,,,73.4603000
42 Dra b,42 Dra,2,1,0,Radial Velocity,479.10000000,,,,90.6545000
47 UMa b,47 UMa,1,3,0,Radial Velocity,1078.00000000,,,,13.7967000
47 UMa c,47 UMa,1,3,0,Radial Velocity,2391.00000000,,,,13.7967000
47 UMa d,47 UMa,1,3,0,Radial Velocity,14002.00000000,,,,13.7967000
51 Eri b,51 Eri,3,1,0,Imaging,,,635.66000,700,29.7575000
51 Peg b,51 Peg,1,1,0,Radial Velocity,4.23078500,,,,15.4614000
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,14.65160000,,,,12.5855000
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,44.39890000,,,,12.5855000
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,5574.20000000,,,,12.5855000
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,0.73654740,1.875,7.99000,,12.5855000
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,259.88000000,,,,12.5855000
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,919.86000000,,,,54.6599000
61 Vir b,61 Vir,1,3,0,Radial Velocity,4.21500000,,,,8.5033200
61 Vir c,61 Vir,1,3,0,Radial Velocity,38.02100000,,,,8.5033200
61 Vir d,61 Vir,1,3,0,Radial Velocity,123.01000000,,,,8.5033200
7 CMa b,7 CMa,1,2,0,Radial Velocity,735.10000000,,,,19.8101000
7 CMa c,7 CMa,1,2,0,Radial Velocity,996.00000000,,,,19.8101000
70 Vir b,70 Vir,1,1,0,Radial Velocity,116.68800000,,,,17.9011000
75 Cet b,75 Cet,2,2,0,Radial Velocity,696.62000000,,,,82.9613000
75 Cet c,75 Cet,2,2,0,Radial Velocity,2051.62000000,,,,82.9613000
8 UMi b,8 UMi,1,1,0,Radial Velocity,93.40000000,,,,162.5520000
81 Cet b,81 Cet,1,1,0,Radial Velocity,1005.57000000,,,,101.2600000
91 Aqr b,91 Aqr,3,1,0,Radial Velocity,181.40000000,,,,44.0304000
AB Aur b,AB Aur,1,1,0,Imaging,,,2860.45566,,162.1270000
AB Pic b,AB Pic,1,1,0,Imaging,,,4290.50000,,50.0475000
AF Lep b,AF Lep,1,1,0,Imaging,8030.00000000,,1017.05090,,26.8564000
AU Mic b,AU Mic,1,3,0,Transit,8.46299910,,20.12000,,9.7221000
AU Mic c,AU Mic,1,3,0,Transit,18.85899100,,9.60000,,9.7221000
AU Mic d,AU Mic,1,3,0,Transit Timing Variations,12.73596000,,1.05300,,9.7221000
BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,481.90000000,,,,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,268.94000000,,,,49.3520000
BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,153.22000000,,,,768.0450000
BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,137.48000000,,,,426.4200000
BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,379.63000000,,,,1539.7100000
BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,621.99000000,,,,1539.7100000
BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,578.20000000,,,,1322.5100000
BD+20 594 b,BD+20 594,1,1,0,Transit,41.68550000,2.578,22.24810,,179.4610000
BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,307.88000000,,,,53.6220000
BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,392.60000000,,,,871.4930000
BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,733.00000000,,,,666.5890000
BD+49 828 b,BD+49 828,1,1,0,Radial Velocity,2590.00000000,,,,442.0420000
BD+55 362 b,BD+55 362,1,1,0,Radial Velocity,265.59000000,,,,52.5697000
BD+60 1417 b,BD+60 1417,1,1,0,Imaging,,14.684,4767.42610,1303,44.9543000
BD+63 1405 b,BD+63 1405,1,1,0,Radial Velocity,1198.48000000,,,,38.0473000
BD-06 1339 c,BD-06 1339,1,2,0,Radial Velocity,125.94000000,,,,20.2695000
BD-08 2823 b,BD-08 2823,1,2,0,Radial Velocity,5.60000000,,,,41.3342000
BD-08 2823 c,BD-08 2823,1,2,0,Radial Velocity,237.60000000,,,,41.3342000
BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,3.48777000,,,,84.4069000
BD-11 4672 b,BD-11 4672,1,2,0,Radial Velocity,1634.00000000,,,,27.1665000
BD-11 4672 c,BD-11 4672,1,2,0,Radial Velocity,74.20000000,,,,27.1665000
BD-13 2130 b,BD-13 2130,1,1,0,Radial Velocity,714.29999000,,,,925.2140000
BD-14 3065 b,BD-14 3065 A,3,1,0,Transit,4.28897310,21.590,3932.00000,2001,589.4230000
BD-17 63 b,BD-17 63,1,1,0,Radial Velocity,655.57000000,,1639.99458,,34.4603000
BD-210397 b,BD-210397,1,2,0,Radial Velocity,1891.00000000,,,,23.7324000
BD-210397 c,BD-210397,1,2,0,Radial Velocity,6240.00000000,,1525.57635,,23.7324000
CD Cet b,CD Cet,1,1,0,Radial Velocity,2.29070000,,,464,8.6071500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,Imaging,10037.50000000,,3337.10000,370,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,Imaging,8040000.00000000,20.849,2479.06157,1800,
CHXR 73 b,CHXR 73,1,1,0,Imaging,,,3994.48600,,190.3740000
CI Tau c,CI Tau,1,1,0,Radial Velocity,25.20000000,,,,157.9980000
COCONUTS-2 b,COCONUTS-2 A,1,1,0,Imaging,402000000.00000000,12.442,2002.31896,434,10.8864000
CT Cha b,CT Cha,1,1,0,Imaging,,24.660,5403.00000,2600,190.7200000
CoRoT-1 b,CoRoT-1,1,1,0,Transit,1.50895570,16.700,327.35000,1898,787.9090000
CoRoT-10 b,CoRoT-10,1,1,0,Transit,13.24060000,10.870,874.00000,600,338.3860000
CoRoT-11 b,CoRoT-11,1,1,0,Transit,2.99433000,16.030,740.51000,1657,655.0370000
CoRoT-12 b,CoRoT-12,1,1,0,Transit,2.82804200,16.140,291.43800,1442,1126.3700000
CoRoT-13 b,CoRoT-13,1,1,0,Transit,4.03519000,9.920,415.70400,1700,1148.9300000
CoRoT-14 b,CoRoT-14,1,1,0,Transit,1.51214000,12.220,2415.40000,1952,1744.6000000
CoRoT-16 b,CoRoT-16,1,1,0,Transit,5.35227000,13.110,170.03200,,732.4090000
CoRoT-17 b,CoRoT-17,1,1,0,Transit,3.76810000,11.430,772.29000,1626,1176.1200000
CoRoT-18 b,CoRoT-18,1,1,0,Transit,1.90006930,14.680,1102.82000,1550,764.8890000
CoRoT-19 b,CoRoT-19,1,1,0,Transit,3.89713000,14.460,352.78000,2000,790.6630000
CoRoT-2 b,CoRoT-2,2,1,0,Transit,1.74299350,16.432,1102.82000,,213.2830000
CoRoT-20 b,CoRoT-20,1,2,0,Transit,9.24285000,,1366.66900,,844.0610000
CoRoT-20 c,CoRoT-20,1,2,0,Radial Velocity,1675.00000000,,,,844.0610000
CoRoT-21 b,CoRoT-21,1,1,0,Transit,2.72474000,14.572,718.29580,,
CoRoT-22 b,CoRoT-22,1,1,0,Transit,9.75598000,4.880,12.20000,885,627.1580000
CoRoT-23 b,CoRoT-23,1,1,0,Transit,3.63130000,11.770,889.90000,1660,1060.9700000
CoRoT-24 b,CoRoT-24,1,2,0,Transit,5.11340000,3.700,5.70000,1070,591.5550000
CoRoT-24 c,CoRoT-24,1,2,0,Transit,11.75900000,5.000,28.00000,850,591.5550000
CoRoT-25 b,CoRoT-25,1,1,0,Transit,4.86069000,12.110,85.81000,1330,1103.4800000
CoRoT-26 b,CoRoT-26,1,1,0,Transit,4.20474000,14.120,165.26000,1600,1045.1800000
CoRoT-27 b,CoRoT-27,1,1,0,Transit,3.57532000,11.287,3302.11000,1500,1010.2800000
CoRoT-28 b,CoRoT-28,1,1,0,Transit,5.20851000,10.705,153.82972,,766.1830000
CoRoT-29 b,CoRoT-29,1,1,0,Transit,2.85057000,10.088,270.15550,,806.5070000
CoRoT-3 b,CoRoT-3,1,1,0,Transit,4.25680000,11.320,6883.91000,,768.7710000
CoRoT-30 b,CoRoT-30,1,1,0,Transit,9.06005000,11.310,921.70700,,1032.2300000
CoRoT-31 b,CoRoT-31,1,1,0,Transit,4.62941000,16.365,266.97720,,2005.7600000
CoRoT-35 b,CoRoT-35,1,1,0,Transit,3.22748000,18.831,349.61125,1747,1123.2100000
CoRoT-36 b,CoRoT-36,1,1,0,Transit,5.61653100,15.805,216.12332,1567,925.9580000
CoRoT-4 b,CoRoT-4,1,1,0,Transit,9.20205000,13.340,228.83000,1074,726.4120000
CoRoT-5 b,CoRoT-5,1,1,0,Transit,4.03789620,15.558,148.42000,1438,882.4720000
CoRoT-6 b,CoRoT-6,1,1,0,Transit,8.88659300,13.068,940.74000,1017,645.2940000
CoRoT-7 b,CoRoT-7,1,3,0,Transit,0.85359163,1.681,4.07661,,159.9060000
CoRoT-7 c,CoRoT-7,1,3,0,Radial Velocity,3.69800000,,8.40000,,159.9060000
CoRoT-7 d,CoRoT-7,1,3,0,Radial Velocity,8.96600000,,17.14200,,159.9060000
CoRoT-8 b,CoRoT-8,1,1,0,Transit,6.21229000,6.390,69.92000,,322.0370000
CoRoT-9 b,CoRoT-9,2,1,0,Transit,95.27265600,11.949,266.97720,420,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,0,Transit,6.71837000,6.389,47.67450,938,576.6830000
DE CVn b,DE CVn,2,1,0,Eclipse Timing Variations,4098.10000000,,,,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,0,Astrometry,246.36000000,,9057.77000,,
DH Tau b,DH Tau,1,1,0,Imaging,,,3496.00000,,134.8460000
DMPP-1 b,DMPP-1,1,4,0,Radial Velocity,18.57000000,,,877,62.5388000
DMPP-1 c,DMPP-1,1,4,0,Radial Velocity,6.58400000,,,1239,62.5388000
DMPP-1 d,DMPP-1,1,4,0,Radial Velocity,2.88200000,,,1632,62.5388000
DMPP-1 e,DMPP-1,1,4,0,Radial Velocity,5.51600000,,,1314,62.5388000
DMPP-2 b,DMPP-2,1,1,0,Radial Velocity,5.20720000,,,1000,137.9400000
DMPP-3 A b,DMPP-3 A,2,1,0,Radial Velocity,6.67320000,,,854,45.2300000
DMPP-4 b,DMPP-4,1,1,0,Radial Velocity,3.49820000,,,,25.3284000
DP Leo b,DP Leo,2,1,0,Eclipse Timing Variations,10220.00000000,,,,305.6840000
DS Tuc A b,DS Tuc A,2,1,0,Transit,8.13826800,5.700,,850,44.0622000
EPIC 201170410.02,EPIC 201170410,1,1,0,Transit,6.79870000,1.047,,,
EPIC 201238110 b,EPIC 201238110,1,1,0,Transit,28.16560000,1.870,,,159.2590000
EPIC 201427007 b,EPIC 201427007,1,1,0,Transit,0.72091000,1.500,,,706.3910000
EPIC 201497682 b,EPIC 201497682,1,1,0,Transit,2.13174000,0.692,,,253.0260000
EPIC 201595106 b,EPIC 201595106,1,1,0,Transit,0.87721400,1.300,,,232.1000000
EPIC 201615463 c,K2-166,1,2,0,Transit,3.80464000,1.220,,,476.8820000
EPIC 201754305 d,K2-16,1,3,0,Transit,2.71578000,1.030,,,334.9670000
EPIC 201757695.02,EPIC 201757695,1,1,0,Transit,2.04780000,0.908,,,
EPIC 201833600 c,K2-50,1,2,0,Transit,3.96151000,1.000,,,257.4430000
EPIC 201841433 b,EPIC 201841433,1,1,0,Transit,4.16980000,1.040,,,436.4880000
EPIC 205950854 c,K2-168,1,2,0,Transit,8.05072200,1.310,,961,243.9350000
EPIC 206024342 b,EPIC 206024342,1,3,0,Transit,4.50756000,1.700,,,369.8880000
EPIC 206024342 c,EPIC 206024342,1,3,0,Transit,0.91172400,1.400,,,369.8880000
EPIC 206024342 d,EPIC 206024342,1,3,0,Transit,14.64753100,2.600,,,369.8880000
EPIC 206032309 b,EPIC 206032309,1,1,0,Transit,2.87814000,1.010,,,161.3650000
EPIC 206042996 b,EPIC 206042996,1,2,0,Transit,5.29860000,1.700,,,451.7690000
EPIC 206042996 c,EPIC 206042996,1,2,0,Transit,0.35488400,1.200,,,451.7690000
EPIC 206215704 b,EPIC 206215704,1,1,0,Transit,2.25543600,1.000,,,109.8880000
EPIC 206317286 b,EPIC 206317286,1,2,0,Transit,1.58252000,0.960,,,314.3500000
EPIC 206317286 c,EPIC 206317286,1,2,0,Transit,17.51547200,2.094,,,314.3500000
EPIC 211822797 b,EPIC 211822797,1,1,0,Transit,21.17019630,1.920,,431,186.1970000
EPIC 211945201 b,EPIC 211945201,1,1,0,Transit,19.49221000,5.760,,817,181.6900000
EPIC 212297394 b,EPIC 212297394,1,2,0,Transit,2.28936300,1.480,,1149,418.3950000
EPIC 212297394 c,EPIC 212297394,1,2,0,Transit,5.21396500,2.270,,866,418.3950000
EPIC 212424622 b,EPIC 212424622,1,1,0,Transit,18.09830000,2.170,,,611.8040000
EPIC 212499991 b,EPIC 212499991,1,1,0,Transit,34.88500000,1.600,,,283.2900000
EPIC 212587672 b,EPIC 212587672,1,2,0,Transit,15.28078000,1.260,,756,320.0700000
EPIC 212587672 c,EPIC 212587672,1,2,0,Transit,23.22855500,2.320,,658,320.0700000
EPIC 212624936 b,EPIC 212624936,1,2,0,Transit,0.57865700,1.200,,,561.9290000
EPIC 212624936 c,EPIC 212624936,1,2,0,Transit,11.81143700,2.300,,,561.9290000
EPIC 212737443 b,EPIC 212737443,1,2,0,Transit,13.60300000,2.586,,536,336.2500000
EPIC 212737443 c,EPIC 212737443,1,2,0,Transit,65.55000000,2.690,,316,336.2500000
EPIC 220492298 b,EPIC 220492298,1,1,0,Transit,0.76240600,0.990,,,624.5120000
EPIC 220554210 c,K2-282,1,2,0,Transit,0.70531000,1.600,,,496.2890000
EPIC 220674823 b,EPIC 220674823,1,2,0,Transit,0.57129200,1.725,8.21000,2300,244.5900000
EPIC 220674823 c,EPIC 220674823,1,2,0,Transit,13.33970000,2.836,8.90000,805,244.5900000
EPIC 228836835 b,EPIC 228836835,1,1,0,Transit,0.72811300,1.100,,,150.1240000
EPIC 229004835 b,EPIC 229004835,1,1,0,Transit,16.14113200,2.332,10.40000,804,121.9710000
EPIC 246851721 b,EPIC 246851721,2,1,0,Transit,6.18023500,11.781,953.49000,1401,372.6320000
EPIC 248847494 b,EPIC 248847494,1,1,0,Transit,3650.00000000,12.442,4131.79000,183,551.8860000
EPIC 249893012 b,EPIC 249893012,1,3,0,Transit,3.59510000,1.950,8.75000,1616,321.2960000
EPIC 249893012 c,EPIC 249893012,1,3,0,Transit,15.62400000,3.670,14.67000,990,321.2960000
EPIC 249893012 d,EPIC 249893012,1,3,0,Transit,35.74700000,3.940,10.18000,752,321.2960000
FU Tau b,FU Tau,1,1,0,Imaging,,,5085.28000,2375,
G 196-3 b,G 196-3,1,1,0,Imaging,,,8263.53858,1670,21.7912000
G 264-012 b,G 264-012,1,2,0,Radial Velocity,2.30538000,,,587,16.0090000
G 264-012 c,G 264-012,1,2,0,Radial Velocity,8.05180000,,,387,16.0090000
G 9-40 b,G 9-40,1,1,0,Transit,5.74600700,2.025,11.70000,456,27.9276000
GJ 1002 b,GJ 1002,1,2,0,Radial Velocity,10.34650000,,,231,4.8486700
GJ 1002 c,GJ 1002,1,2,0,Radial Velocity,21.20200000,,,182,4.8486700
GJ 1061 b,GJ 1061,1,3,0,Radial Velocity,3.20400000,,,,3.6727800
GJ 1061 c,GJ 1061,1,3,0,Radial Velocity,6.68900000,,,,3.6727800
GJ 1061 d,GJ 1061,1,3,0,Radial Velocity,13.03100000,,,,3.6727800
GJ 1132 b,GJ 1132,1,2,0,Transit,1.62892911,1.192,1.83705,584,12.6130000
GJ 1132 c,GJ 1132,1,2,0,Radial Velocity,8.92900000,,,300,12.6130000
GJ 1148 b,GJ 1148,1,2,0,Radial Velocity,41.38000000,,,,11.0143000
GJ 1148 c,GJ 1148,1,2,0,Radial Velocity,532.58000000,,,,11.0143000
GJ 1151 c,GJ 1151,1,1,0,Radial Velocity,389.70000000,,,,8.0362500
GJ 1214 b,GJ 1214,1,1,0,Transit,1.58040453,2.733,8.41000,567,14.6427000
GJ 1252 b,GJ 1252,1,1,0,Transit,0.51823310,1.193,1.32000,,20.3730000
GJ 1265 b,GJ 1265,1,1,0,Radial Velocity,3.65110000,,,,10.2525000
GJ 143 b,GJ 143,1,2,0,Transit,35.61253000,2.610,22.70000,422,16.3200000
GJ 15 A c,GJ 15 A,2,2,0,Radial Velocity,7600.00000000,,,,3.5622800
GJ 160.2 b,GJ 160.2,1,1,0,Radial Velocity,5.23540000,,,,25.8557000
GJ 163 b,GJ 163,1,3,0,Radial Velocity,8.63182000,,,,15.1285000
GJ 163 c,GJ 163,1,3,0,Radial Velocity,25.63058000,,,,15.1285000
GJ 163 d,GJ 163,1,3,0,Radial Velocity,603.95116000,,,,15.1285000
GJ 179 b,GJ 179,1,1,0,Radial Velocity,2288.00000000,,,,12.3560000
GJ 180 b,GJ 180,1,3,0,Radial Velocity,17.13300000,,,,11.9407000
GJ 180 c,GJ 180,1,3,0,Radial Velocity,24.32900000,,,,11.9407000
GJ 180 d,GJ 180,1,3,0,Radial Velocity,106.30000000,,,,11.9407000
GJ 2030 b,GJ 2030,1,2,0,Radial Velocity,2.38129000,,,,37.0788000
GJ 2030 c,GJ 2030,1,2,0,Radial Velocity,25533.11353000,,4069.15709,,37.0788000
GJ 2056 b,GJ 2056,1,1,0,Radial Velocity,69.97100000,,,,28.4434000
GJ 229 A c,GJ 229,2,2,0,Radial Velocity,121.93268000,,,,5.7562400
GJ 229 b,GJ 229,2,2,0,Radial Velocity,579.47495000,,,,5.7562400
GJ 238 b,GJ 238,1,1,0,Transit,1.74469990,0.566,,758,15.2142000
GJ 251 b,GJ 251,1,1,0,Radial Velocity,14.23800000,,,351,5.5805700
GJ 27.1 b,GJ 27.1,1,1,0,Radial Velocity,15.81900000,,,,23.6062000
GJ 273 b,GJ 273,1,2,0,Radial Velocity,18.64980000,,,,5.9215350
GJ 273 c,GJ 273,1,2,0,Radial Velocity,4.72340000,,,,5.9215350
GJ 3021 b,GJ 3021,2,1,0,Radial Velocity,133.71000000,,,350,17.5559000
GJ 3082 b,GJ 3082,1,1,0,Radial Velocity,11.94900000,,,,16.6186000
GJ 3090 b,GJ 3090,1,1,0,Transit,2.85310540,2.130,3.34000,693,22.4751000
GJ 3138 b,GJ 3138,1,3,0,Radial Velocity,1.22003000,,,,28.4712000
GJ 3138 c,GJ 3138,1,3,0,Radial Velocity,5.97400000,,,,28.4712000
GJ 3138 d,GJ 3138,1,3,0,Radial Velocity,257.80000000,,,,28.4712000
GJ 317 b,GJ 317,1,2,0,Radial Velocity,695.66000000,,,,15.1968000
GJ 317 c,GJ 317,1,2,0,Radial Velocity,6739.32300000,,,,15.1968000
GJ 3222 b,GJ 3222,2,1,0,Radial Velocity,10.66669000,,,,18.2381700
GJ 328 b,GJ 328,1,2,0,Radial Velocity,3771.00000000,,,,20.5266000
GJ 328 c,GJ 328,1,2,0,Radial Velocity,241.80000000,,,,20.5266000
GJ 3293 b,GJ 3293,1,4,0,Radial Velocity,30.59870000,,,,20.1903000
GJ 3293 c,GJ 3293,1,4,0,Radial Velocity,122.61960000,,,,20.1903000
GJ 3293 d,GJ 3293,1,4,0,Radial Velocity,48.13450000,,,,20.1903000
GJ 3293 e,GJ 3293,1,4,0,Radial Velocity,13.25430000,,,,20.1903000
GJ 3323 b,GJ 3323,1,2,0,Radial Velocity,5.36360000,,,,5.3748400
GJ 3323 c,GJ 3323,1,2,0,Radial Velocity,40.54000000,,,,5.3748400
GJ 3341 b,GJ 3341,1,1,0,Radial Velocity,14.20700000,,,,23.6190000
GJ 338 B b,GJ 338 B,2,1,0,Radial Velocity,24.42200000,,,,6.3325600
GJ 3470 b,GJ 3470,1,1,0,Radial Velocity,3.33664960,4.570,13.90000,594,29.4214000
GJ 3473 b,GJ 3473,2,2,0,Transit,1.19800350,1.264,1.86000,773,27.3644000
GJ 3473 c,GJ 3473,2,2,0,Radial Velocity,15.50900000,,,329,27.3644000
GJ 3512 b,GJ 3512,1,2,0,Radial Velocity,203.69000000,,,,9.4863700
GJ 3512 c,GJ 3512,1,2,0,Radial Velocity,1599.60000000,,,,9.4863700
GJ 357 b,GJ 357,1,3,0,Transit,3.93060000,1.200,,518,9.4418100
GJ 357 c,GJ 357,1,3,0,Radial Velocity,9.12470000,,,401,9.4418100
GJ 357 d,GJ 357,1,3,0,Radial Velocity,55.66100000,,,220,9.4418100
GJ 3634 b,GJ 3634,1,1,0,Radial Velocity,2.64561000,,8.40000,,20.3779000
GJ 367 b,GJ 367,1,3,0,Transit,0.32192250,0.699,0.63300,1365,9.4126300
GJ 367 c,GJ 367,1,3,0,Radial Velocity,11.53010000,,,,9.4126300
GJ 367 d,GJ 367,1,3,0,Radial Velocity,34.36900000,,,,9.4126300
GJ 3779 b,GJ 3779,1,1,0,Radial Velocity,3.02320000,,,,13.7430000
GJ 3929 b,GJ 3929,1,2,0,Transit,2.61623500,1.090,1.75000,568,15.8095000
GJ 3929 c,GJ 3929,1,2,0,Radial Velocity,15.04000000,,,317,15.8095000
GJ 393 b,GJ 393,1,1,0,Radial Velocity,7.02679000,,,485,7.0314900
GJ 3942 b,GJ 3942,1,1,0,Radial Velocity,6.90500000,,,590,16.9287000
GJ 3988 b,GJ 3988,1,1,0,Radial Velocity,6.94420000,,,348,9.9105000
GJ 3998 b,GJ 3998,1,2,0,Radial Velocity,2.64977000,,,,18.1459000
GJ 3998 c,GJ 3998,1,2,0,Radial Velocity,13.74000000,,,,18.1459000
GJ 411 b,GJ 411,1,2,0,Radial Velocity,12.93940000,,,,5.6757730
GJ 414 A b,GJ 414 A,2,2,0,Radial Velocity,50.80000000,2.630,,309,11.8893000
GJ 414 A c,GJ 414 A,2,2,0,Radial Velocity,749.83000000,8.400,,125,11.8893000
GJ 422 b,GJ 422,1,1,0,Radial Velocity,20.12900000,,,,12.6631000
GJ 4276 b,GJ 4276,1,1,0,Radial Velocity,13.35200000,,,,21.3362000
GJ 433 b,GJ 433,1,3,0,Radial Velocity,7.37050000,,,,9.0645600
GJ 433 c,GJ 433,1,3,0,Radial Velocity,5094.10500000,,,,9.0645600
GJ 433 d,GJ 433,1,3,0,Radial Velocity,36.05900000,,,,9.0645600
GJ 436 b,GJ 436,1,1,0,Radial Velocity,2.64388312,4.170,22.10000,,9.7532100
GJ 463 b,GJ 463,1,1,0,Radial Velocity,3448.00000000,,1144.18227,,18.3554000
GJ 480 b,GJ 480,1,1,0,Radial Velocity,9.56700000,,,,14.2358000
GJ 486 b,GJ 486,1,1,0,Radial Velocity,1.46712127,1.289,2.77000,696,8.0742600
GJ 504 b,GJ 504,1,1,0,Imaging,,,1271.30000,510,17.5299000
GJ 514 b,GJ 514,1,1,0,Radial Velocity,140.43000000,,,202,7.6177800
GJ 536 b,GJ 536,1,1,0,Radial Velocity,8.70760000,,,,10.4092000
GJ 581 b,GJ 581,1,3,0,Radial Velocity,5.36860000,,,,6.2981000
GJ 581 c,GJ 581,1,3,0,Radial Velocity,12.91400000,,,,6.2981000
GJ 581 e,GJ 581,1,3,0,Radial Velocity,3.14900000,,,,6.2981000
GJ 625 b,GJ 625,1,1,0,Radial Velocity,14.62800000,,,,6.4724900
