# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 09:27:22 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
#
pl_name	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	pl_rade	pl_radeerr1	pl_radeerr2	pl_radelim	pl_trandur	pl_trandurerr1	pl_trandurerr2	pl_trandurlim
AU Mic c	18.85969000	0.00008000	-0.00008000	0	2.522	0.247	-0.247	0	4.2360000	0.0290000	-0.0290000	0
AU Mic c	18.85901900	0.00001600	-0.00001600	0	3.240	0.160	-0.160	0	4.5000000	0.8000000	-0.8000000	0
AU Mic c	18.85882000			0								
AU Mic c	18.85898200	0.00005300	-0.00005000	0	2.790	0.310	-0.300	0	4.4200000	0.9200000	-0.6700000	0
AU Mic c	18.85901900	0.00000160	-0.00000160	0								
AU Mic c	18.85899100			0								
BD+20 594 b	41.68550000	0.00300000	-0.00300000	0	2.578	0.112	-0.112	0				
BD+20 594 b	41.68864400	0.00335300	-0.00341900	0	2.355	0.310	-0.167	0				
BD+20 594 b	41.68550000	0.00300000	-0.00310000	0	2.230	0.140	-0.110	0				
BD-14 3065 b	4.28897310	0.00000520	-0.00000520	0	21.590	1.050	-1.050	0	3.0860000	0.0410000	-0.0410000	0
BD-14 3065 b	4.28896960	0.00000670	-0.00000670	0	20.711	1.296	-1.296	0	2.5170000	0.4330000	-0.4330000	0
BD-17 63 b	655.59998000	0.60000000	-0.60000000	0								
BD-17 63 b	649.00000000	36.00000000	-36.00000000	0								
BD-17 63 b	655.60000000	0.60000000	-0.60000000	0								
BD-17 63 b	655.57000000	0.58000000	-0.58000000	0								
CoRoT-1 b	1.50895570	0.00000640	-0.00000640	0	16.700	0.900	-0.900	0				
CoRoT-1 b	1.50897655	0.00000010	-0.00000010	0	15.917	2.690	-2.690	0				
CoRoT-1 b	1.50895570			0	16.589	0.673	-0.673	0				
CoRoT-1 b	1.50896820	0.00000050	-0.00000050	0	19.223	0.336	-0.336	0				
CoRoT-1 b	1.50896877	0.00000008	-0.00000008	0								
CoRoT-1 b	1.50896350	0.00000890	-0.00000890	0	20.594			0	2.3730000	0.2450000	-0.2450000	0
CoRoT-1 b	1.50896860	0.00000060	-0.00000060	0	17.385	0.729	-0.729	0				
CoRoT-10 b	13.24060000	0.00020000	-0.00020000	0	10.873	0.785	-0.785	0				
CoRoT-10 b	13.24060000	0.00020000	-0.00020000	0	10.870	0.780	-0.780	0	2.9800000	0.0600000	-0.0600000	0
CoRoT-10 b	13.24060000	0.00020000	-0.00020000	0	10.548	0.953	-0.953	0				
CoRoT-11 b	2.99432500	0.00002100	-0.00002100	0	16.029	0.336	-0.336	0				
CoRoT-11 b	2.99432500	0.00002100	-0.00002100	0	15.581	0.370	-0.370	0	2.4448800	0.0180000	-0.0180000	0
CoRoT-11 b									1.9176000	0.0240000	-0.0288000	0
CoRoT-11 b	2.99433000	0.00001100	-0.00001100	0	16.030	0.340	-0.340	0	2.5009000	0.0144000	-0.0144000	0
CoRoT-11 b	2.99427803	0.00000049	-0.00000049	0								
CoRoT-11 b	2.99328197	0.00048569	-0.00048569	0	21.746	1.718	-1.718	0	2.5766956	0.1304655	-0.1304655	0
CoRoT-11 b	2.99433000	0.00001100	-0.00001100	0	15.984	0.650	-0.650	0				
CoRoT-12 b	2.82805268	0.00000065	-0.00000065	0	15.065	0.829	-0.796	0				
CoRoT-12 b	2.82804100	0.00001100	-0.00001100	0								
CoRoT-12 b	2.82804200	0.00001300	-0.00001300	0	16.140	1.460	-1.460	0	2.5742400	0.0213600	-0.0216000	0
CoRoT-12 b	2.82804200	0.00001300	-0.00001300	0	15.132	0.841	-0.841	0				
CoRoT-12 b	2.82804200	0.00001300	-0.00001300	0	16.141	1.457	-1.457	0				
CoRoT-12 b	2.82803915	0.00001296	-0.00001296	0	17.760	1.228	-1.228	0	2.6215943	0.2396363	-0.2396363	0
CoRoT-13 b	4.03519000	0.00003000	-0.00003000	0	14.034	0.852	-0.852	0				
CoRoT-13 b	4.03504444	0.00002781	-0.00002781	0	12.533	1.700	-1.700	0	2.8526163	0.4046506	-0.4046506	0
CoRoT-13 b	4.03519000	0.00003000	-0.00003000	0	9.920	0.157	-0.157	0				
CoRoT-13 b	4.03519000	0.00003000	-0.00003000	0	9.920	0.157	-0.157	0	3.1400000	0.0100000	-0.0100000	0
CoRoT-13 b	4.03515000	0.00002600	-0.00002500	0								
CoRoT-14 b	1.51214000	0.00013000	-0.00013000	0	12.218	0.785	-0.785	0				
CoRoT-14 b	1.51214000	0.00013000	-0.00013000	0	12.220	0.780	-0.780	0	1.6620000	0.0440000	-0.0440000	0
CoRoT-14 b	1.51214000	0.00013000	-0.00013000	0	11.411	0.886	-0.886	0				
CoRoT-16 b	5.35227000	0.00020000	-0.00020000	0	13.115	1.569	-1.793	0				
CoRoT-16 b	5.35227000	0.00020000	-0.00020000	0	13.110	1.790	-1.570	0	2.3900000	0.0900000	-0.0900000	0
CoRoT-17 b	3.76810000	0.00030000	-0.00030000	0	11.430	0.780	-0.780	0	4.7200100	0.0000000	0.0000000	0
CoRoT-17 b	3.76810000	0.00030000	-0.00030000	0	11.287	3.867	-1.031	0				
CoRoT-17 b	3.76810000	0.00030000	-0.00030000	0	11.433	0.785	-0.785	0				
CoRoT-18 b	1.90006930	0.00000280	-0.00000280	0	14.022	0.930	-0.930	0				
CoRoT-18 b	1.90007690	0.00000210	-0.00000220	0								
CoRoT-18 b	1.90008625	0.00000393	-0.00000393	0	15.050	0.533	-0.533	0	2.3058232	0.0969878	-0.0969878	0
CoRoT-18 b	1.90009000	0.00000050	-0.00000050	0	12.846	0.437	-0.538	0				
CoRoT-18 b	1.90006930	0.00000280	-0.00000280	0	14.680	2.020	-2.020	0	2.3870000	0.0380000	-0.0380000	0
CoRoT-18 b	1.90006930	0.00000280	-0.00000280	0	14.684	2.018	-2.018	0				
CoRoT-19 b	3.89713100	0.00001100	-0.00001100	0								
CoRoT-19 b	3.89712026	0.00001889	-0.00001889	0	13.493	0.715	-0.715	0	4.8258882	0.2474235	-0.2474235	0
CoRoT-19 b	3.89713000	0.00002000	-0.00002000	0	13.339	2.914	-0.773	0				
CoRoT-19 b	3.89713000	0.00002000	-0.00002000	0	14.460	0.340	-0.340	0	4.7000000	0.1000000	-0.1000000	0
CoRoT-19 b	3.89713000	0.00002000	-0.00002000	0	14.460	0.336	-0.336	0				
CoRoT-19 b	3.89713790	0.00000160	-0.00000160	0								
CoRoT-2 b	1.74299640	0.00000170	-0.00000170	0	16.421	0.325	-0.325	0				
CoRoT-2 b	1.74299750	0.00000020	-0.00000020	0	15.850	0.717	-0.717	0				
CoRoT-2 b	1.74299673	0.00000031	-0.00000031	0	16.432	0.471	-0.493	0				
CoRoT-2 b	1.74299705	0.00000015	-0.00000015	0								
CoRoT-2 b	1.74299906	0.00000040	-0.00000040	0								
CoRoT-2 b	1.74301433	0.00004385	-0.00004385	0	16.923	1.717	-1.717	0	2.2872101	0.0264975	-0.0264975	0
CoRoT-2 b	1.74299673	0.00000031	-0.00000031	0					2.2732800	0.0172800	-0.0172800	0
CoRoT-2 b	1.74299350	0.00000100	-0.00000100	0	16.477	0.359	-0.359	0				
CoRoT-2 b	1.74299350	0.00000100	-0.00000100	0	16.432	0.471	-0.493	0	2.2670400	0.0026400	-0.0024000	0
CoRoT-2 b	1.74299700	0.00000011	-0.00000011	0								
CoRoT-2 b	1.74299350	0.00000100	-0.00000100	0	16.365	0.347	-0.347	0				
CoRoT-2 b	1.74299609	0.00000059	-0.00000059	0	16.533	0.347	-0.347	0				
CoRoT-20 b	9.24285000	0.00030000	-0.00030000	0	13.002	2.914	-2.914	0				
CoRoT-20 b	9.24285000	0.00030000	-0.00030000	0	9.420	0.450	-0.450	0	2.2248000	0.0456000	-0.0456000	0
CoRoT-20 b	9.24323029	0.00006373	-0.00006373	0	15.397	1.328	-1.328	0	2.4045872	0.2877249	-0.2877249	0
CoRoT-20 b	9.24318000	0.00000900	-0.00000900	0	11.209	2.018	-2.354	0				
CoRoT-20 b	9.24285000	0.00030000	-0.00030000	0								
CoRoT-20 b	9.24285000	0.00030000	-0.00030000	0	9.416	0.448	-0.448	0				
CoRoT-21 b	2.72474000	0.00014000	-0.00014000	0	14.572	1.569	-1.569	0	4.7600000			0
CoRoT-21 b	2.72474000	0.00014000	-0.00014000	0	14.572	1.569	-1.569	0				
CoRoT-22 b	9.75598000	0.00011000	-0.00011000	0	4.880	0.170	-0.390	0	4.4920000	0.0390000	-0.0390000	0
CoRoT-23 b	3.63130000	0.00010000	-0.00010000	0	13.227	2.130	-1.233	0				
CoRoT-23 b	3.63130000	0.00010000	-0.00010000	0	11.770	1.460	-1.460	0	3.8880000	0.0540000	-0.0540000	0
CoRoT-23 b	3.63130000	0.00010000	-0.00010000	0	11.769	1.457	-1.457	0				
CoRoT-24 b	5.11340000	0.00060000	-0.00060000	0	3.700	0.400	-0.400	0	2.8500000	0.2500000	-0.2500000	0
CoRoT-24 c	11.75900000	0.00630000	-0.00630000	0	5.000	0.500	-0.500	0	4.8000000	0.2000000	-0.2000000	0
CoRoT-25 b	4.86069000	0.00006000	-0.00006000	0	12.110	3.400	-1.120	0	1.9200000	0.0600000	-0.0700000	0
CoRoT-25 b	4.86069000	0.00006000	-0.00006000	0	12.106	3.363	-1.121	0				
CoRoT-26 b	4.20474000	0.00005000	-0.00005000	0	14.120	1.460	-0.780	0	5.4700000	0.0600000	-0.0400000	0
CoRoT-26 b	4.20474000	0.00005000	-0.00005000	0	14.123	1.457	-0.785	0				
CoRoT-27 b	3.57532000	0.00006000	-0.00006000	0	11.287	0.493	-0.493	0				
CoRoT-27 b	3.57532000	0.00006000	-0.00006000	0	11.287	0.493	-0.493	0	2.7700000	0.0600000	-0.0600000	0
CoRoT-28 b	5.20851000	0.00038000	-0.00038000	0	10.705	0.740	-0.740	0	5.7000000	0.0900000	-0.0900000	0
CoRoT-28 b	5.20851000	0.00038000	-0.00038000	0	10.705	0.740	-0.740	0				
CoRoT-29 b	2.85057000	0.00000600	-0.00000600	0	10.088	1.793	-1.793	0	2.1900000	0.0400000	-0.0400000	0
CoRoT-29 b	2.85056150	0.00000720	-0.00000720	0								
CoRoT-29 b	2.85057000	0.00000600	-0.00000600	0	10.088	1.793	-1.793	0				
CoRoT-3 b	4.25679940	0.00000350	-0.00000350	0	11.321	0.785	-0.785	0				
CoRoT-3 b	4.25679940	0.00000390	-0.00000310	0	11.135	0.650	-0.650	0				
CoRoT-3 b	4.25680000	0.00000500	-0.00000500	0	11.320	0.780	-0.780	0				
CoRoT-3 b	4.25679940	0.00000350	-0.00000350	0	11.624	0.773	-0.773	0				
CoRoT-3 b									3.3840000	0.0240000	-0.0192000	0
CoRoT-30 b	9.06005000	0.00024000	-0.00024000	0	11.310	0.852	-0.852	0				
CoRoT-31 b	4.62941000	0.00075000	-0.00075000	0	16.365	3.363	-3.363	0				
CoRoT-35 b	3.22748000	0.00008000	-0.00008000	0	18.831	1.233	-1.233	0	4.1900000	0.0800000	-0.0800000	0
CoRoT-36 b	5.61653100	0.00002300	-0.00002300	0	15.805	1.569	-1.569	0	4.9800000	0.0700000	-0.0700000	0
CoRoT-4 b	9.20205000	0.00037000	-0.00037000	0	13.339	0.616	-0.616	0				
CoRoT-4 b	9.20205000	0.00037000	-0.00037000	0	13.002	1.300	-0.471	0				
CoRoT-4 b	9.20205000	0.00037000	-0.00037000	0	13.340	0.670	-0.560	0				
CoRoT-4 b	9.20164964	0.00003141	-0.00003141	0	13.437	0.485	-0.485	0	4.4317333	0.1887259	-0.1887259	0
CoRoT-5 b	4.03789620	0.00000190	-0.00000190	0	13.249	1.143	-1.098	0				
CoRoT-5 b	4.03789620	0.00000190	-0.00000190	0	15.558	0.516	-0.527	0				
CoRoT-5 b	4.03789620	0.00000190	-0.00000190	0	15.558	0.516	-0.527	0				
CoRoT-5 b	4.03791560	0.00000120	-0.00000120	0								
CoRoT-5 b	4.03790124	0.00001444	-0.00001444	0	18.383	2.505	-2.505	0	2.9331124	0.1603818	-0.1603818	0
CoRoT-5 b	4.03791560	0.00000120	-0.00000120	0	14.079	0.516	-0.504	0				
CoRoT-6 b	8.88659300	0.00004000	-0.00004000	0	13.070	0.392	-0.392	0				
CoRoT-6 b	8.88659300	0.00000400	-0.00000400	0	13.283	0.471	-0.471	0				
CoRoT-6 b	8.88662870	0.00000600	-0.00000600	0								
CoRoT-6 b	8.88659300	0.00000400	-0.00000400	0	13.068	0.392	-0.392	0	4.0800000	0.0200000	-0.0200000	0
CoRoT-7 b	0.85359165	0.00000005	-0.00000005	0								
CoRoT-7 b	0.85358500	0.00002400	-0.00002400	0								
CoRoT-7 b	0.85359159	0.00000057	-0.00000057	0	1.585	0.064	-0.064	0	1.0590000	0.0260000	-0.0260000	0
CoRoT-7 b	0.85358500	0.00002400	-0.00002400	0	1.680	0.090	-0.090	0	1.1250000	0.0500000	-0.0500000	0
CoRoT-7 b	0.85400000			0	1.580	0.100	-0.100	0				
CoRoT-7 b	0.85359163	0.00000001	-0.00000001	0	1.681	0.112	-0.112	0				
CoRoT-7 b	0.85358500	0.00002400	-0.00002400	0	1.861	0.482	-0.482	0				
CoRoT-7 b	0.85350000	0.00000059	-0.00000059	0	1.528	0.065	-0.065	0				
CoRoT-8 b	6.21229000	0.00003000	-0.00003000	0	6.390	0.220	-0.220	0	2.7400000	0.0200000	-0.0200000	0
CoRoT-8 b	6.21229000	0.00003000	-0.00003000	0	7.981	0.942	-0.942	0				
CoRoT-8 b	6.21244500	0.00000700	-0.00000700	0	6.938	0.179	-0.191	0				
CoRoT-8 b	6.21238100	0.00005700	-0.00005700	0	6.389	0.224	-0.224	0				
CoRoT-9 b	95.27265600	0.00006800	-0.00006800	0	11.949	0.841	-0.706	0	8.2680000	0.0504000	-0.0432000	0
CoRoT-9 b	95.27380000	0.00140000	-0.00140000	0	11.624	0.919	-0.919	0				
CoRoT-9 b	95.27272500	0.00006000	-0.00006000	0								
CoRoT-9 b	95.27265600	0.00006800	-0.00006800	0	11.949	0.841	-0.706	0				
CoRoT-9 b	95.27380000	0.00140000	-0.00140000	0	11.770	0.450	-0.450	0	8.0800000	0.1000000	-0.1000000	0
CoRoTID 223977153 b	6.71836780	0.00000820	-0.00000870	0								
CoRoTID 223977153 b	6.71837000	0.00001000	-0.00001000	0	6.389	0.673	-0.560	0	2.4960000	0.2160000	-0.1680000	0
DS Tuc A b	8.13822218	0.00000304	-0.00000304	0	6.176	0.473	-0.473	0	3.2797025	0.0383776	-0.0383776	0
DS Tuc A b	8.13826800	0.00001100	-0.00001100	0	5.700	0.170	-0.170	0	3.1764000	0.0117600	-0.0093600	0
DS Tuc A b	8.13870000	0.00050000	-0.00050000	0	5.630	0.220	-0.210	0				
EPIC 201170410.02	6.79870000	0.00010000	-0.00010000	0	1.047	0.276	-0.257	0				
EPIC 201238110 b	28.16560000	0.00270000	-0.00280000	0	1.870	0.200	-0.450	0				
EPIC 201238110 b	28.16960000	0.00380000	-0.00430000	0	2.200	0.540	-0.300	0	3.3600000	0.1920000	-0.2640000	0
EPIC 201427007 b	0.72091000	0.00014000	-0.00014000	0	1.500	0.200	-0.200	0				
EPIC 201497682 b	2.13174000	0.00022000	-0.00022000	0	0.692	0.059	-0.048	0				
EPIC 201595106 b	0.87718300	0.00005700	-0.00005700	0	1.406	0.208	-0.126	0				
EPIC 201595106 b	0.87721400	0.00006000	-0.00006000	0	1.300	0.100	-0.100	0				
EPIC 201595106 b	0.87703000	0.00011000	-0.00013000	0	1.200	0.110	-0.100	0	1.0008000			0
EPIC 201615463 c	3.80464000	0.00091000	-0.00105000	0	1.220	0.210	-0.170	0				
EPIC 201754305 d	2.71578000	0.00031000	-0.00031000	0	1.030	0.085	-0.086	0				
EPIC 201757695.02	2.04780000	0.00010000	-0.00010000	0	0.908	0.059	-0.064	0				
EPIC 201833600 c	3.96151000	0.00046000	-0.00051000	0	1.000	0.120	-0.110	0				
EPIC 201833600 c	3.96165000	0.00035000	-0.00034000	0	1.480	0.140	-0.210	0	2.1600000	0.1440000	-0.1680000	0
EPIC 201841433 b	4.16888000	0.00050000	-0.00056000	0	1.410	0.150	-0.340	0	2.4000000	0.2640000	-0.3360000	0
EPIC 201841433 b	4.16959000	0.00051000	-0.00053000	0	1.100	0.140	-0.120	0				
EPIC 201841433 b	4.16980000	0.00010000	-0.00010000	0	1.040	0.037	-0.032	0				
EPIC 205950854 c	8.04680000	0.00240000	-0.00250000	0	1.180	0.130	-0.100	0				
EPIC 205950854 c	8.05160000	0.00120000	-0.00110000	0	1.620	0.160	-0.380	0	3.7200000	0.2880000	-0.3120000	0
EPIC 205950854 c	8.05072200	0.00007500	-0.00003800	0	1.310	0.144	-0.063	0				
EPIC 206024342 b	4.50756000	0.00062000	-0.00060000	0	1.700	0.590	-0.310	0				
EPIC 206024342 b	4.50717000	0.00042000	-0.00041000	0	1.440	0.200	-0.180	0	2.1840000	0.1440000	-0.1680000	0
EPIC 206024342 c	0.91165670			0	1.350			0	1.6900000			0
EPIC 206024342 c	0.91172400	0.00007600	-0.00007600	0	1.400	0.500	-0.500	0				
EPIC 206024342 c	0.91161800	0.00007300	-0.00007700	0	1.160	0.170	-0.200	0	1.4160000	0.1200000	-0.1440000	0
EPIC 206024342 d	14.64350000	0.00110000	-0.00100000	0	2.520	0.340	-0.380	0	4.0080000	0.1440000	-0.2160000	0
EPIC 206024342 d	14.64154100			0	2.940			0	4.6700000			0
EPIC 206024342 d	14.64753100	0.00000410	-0.00000410	0	2.600	0.900	-0.900	0				
EPIC 206024342 d	14.63700000	0.00210000	-0.00210000	0	4.000	1.300	-1.300	0	3.7104000	0.2712000	-0.2712000	0
EPIC 206032309 b	2.87814000	0.00023000	-0.00026000	0	1.010	0.240	-0.130	0				
EPIC 206042996 b	5.29860000	0.00060000	-0.00060000	0	1.700	0.200	-0.200	0				
EPIC 206042996 b	5.29853000	0.00080000	-0.00094000	0	3.320	0.620	-2.630	0	3.1440000	0.4560000	-0.7680000	0
EPIC 206042996 b	5.29711000	0.00074000	-0.00070000	0	1.620	0.170	-0.190	0				
EPIC 206042996 c	0.35490972			0	1.450			0	1.0700000			0
EPIC 206042996 c	0.35488400	0.00006300	-0.00006300	0	1.200	0.200	-0.100	0				
EPIC 206215704 b	2.25372000	0.00047000	-0.00047000	0	0.900	0.190	-0.200	0				
EPIC 206215704 b	2.25558000	0.00016000	-0.00015000	0	2.000	0.450	-0.540	0	0.9840000	0.1200000	-0.1440000	0
EPIC 206215704 b	2.25543600	0.00009100	-0.00009100	0	1.000	0.100	-0.090	0				
EPIC 206317286 b	1.58252000	0.00017000	-0.00018000	0	0.960	0.110	-0.150	0				
EPIC 206317286 b	1.58316000	0.00013000	-0.00013000	0	1.220	0.120	-0.190	0	1.7520000	0.1200000	-0.1440000	0
EPIC 206317286 c	17.50166200			0	2.630			0	4.1500000			0
EPIC 206317286 c	17.51250000	0.00290000	-0.00250000	0	2.150	0.200	-0.370	0	3.9360000	0.1920000	-0.2880000	0
EPIC 206317286 c	17.51547200	0.00228800	-0.00296500	0	2.094	0.176	-0.160	0				
EPIC 211822797 b	21.16961900	0.00166500	-0.00172900	0	2.200	0.200	-0.100	0	3.2000000	0.6000000	-1.0200000	0
EPIC 211822797 b	21.16860000	0.00210000	-0.00210000	0	2.180	0.220	-0.230	0	3.5760000	0.1680000	-0.1920000	0
EPIC 211822797 b	21.15950000			0								
EPIC 211822797 b	21.16986100	0.00172500	-0.00169500	0	1.980	0.110	-0.110	0				
EPIC 211822797 b	21.17623917			0					2.0080000	1.2030000	-1.2030000	0
EPIC 211822797 b	21.17019630	0.00006620	-0.00006420	0	1.920	0.120	-0.070	0				
EPIC 211945201 b	19.49221000	0.00066600	-0.00065300	0	5.760	0.300	-0.300	0				
EPIC 211945201 b	19.49214980	0.00000770	-0.00000770	0								
EPIC 211945201 b	19.50735025			0					3.9510000	0.3030000	-0.3030000	0
EPIC 211945201 b	19.49214730	0.00000790	-0.00000790	0	5.507	0.256	-0.256	0	3.5680000	0.0610000	-0.0610000	0
EPIC 211945201 b	19.49179500	0.00051600	-0.00051200	0	5.847	0.946	-0.776	0				
EPIC 211945201 b	19.49213000	0.00001000	-0.00001000	0	6.120	0.100	-0.100	0	3.9100000	0.0200000	-0.0200000	0
EPIC 211945201 b	19.49183000	0.00038000	-0.00038000	0	5.960	0.260	-0.490	0	3.5664000	0.0696000	-0.1200000	0
EPIC 211945201 b	19.49100000			0					3.3688800			0
EPIC 211945201 b	19.49196500			0	6.800			0	2.9760000			0
EPIC 211945201 b	19.49213200	0.00065500	-0.00066900	0	6.000	0.900	-0.800	0	3.5808000	0.1200000	-0.0504000	0
EPIC 212297394 b	2.28896000	0.00025000	-0.00024000	0	1.830	0.180	-0.440	0	1.6080000	0.1920000	-0.2880000	0
EPIC 212297394 b	2.28943000	0.00019000	-0.00019000	0	1.323	0.081	-0.095	0				
EPIC 212297394 b	2.28936300	0.00023200	-0.00025100	0	1.480	0.130	-0.110	0	1.8800000	0.1700000	-0.1600000	0
EPIC 212297394 c	5.21396500	0.00044200	-0.00044200	0	2.270	0.190	-0.140	0	2.6200000	0.1100000	-0.1100000	0
EPIC 212297394 c	5.21378000	0.00035000	-0.00033000	0	2.290	0.130	-0.190	0	2.4720000	0.0960000	-0.1200000	0
EPIC 212297394 c	5.21300000			0					2.4220800			0
EPIC 212424622 b	18.09830000	0.00600000	-0.00580000	0	2.170	0.670	-0.420	0				
EPIC 212424622 b	18.09710000	0.00440000	-0.00440000	0	2.210	0.190	-0.430	0	4.3200000	0.2880000	-0.4080000	0
EPIC 212499991 b	34.88500000	0.01100000	-0.01000000	0	1.600	0.130	-0.160	0				
EPIC 212587672 b	15.28410000	0.00370000	-0.00290000	0	1.120	0.120	-0.090	0				
EPIC 212587672 b	15.28410000	0.00200000	-0.00200000	0	1.390	0.110	-0.210	0	3.5520000	0.1920000	-0.2160000	0
EPIC 212587672 b	15.28078000	0.00012100	-0.00011600	0	1.260	0.110	-0.090	0	3.4600000	0.2000000	-0.2100000	0
EPIC 212587672 c	23.22600100	0.00309200	-0.00321200	0	2.245	0.400	-0.210	0				
EPIC 212587672 c	23.24110566			0					4.5050000	0.4040000	-0.4040000	0
EPIC 212587672 c	23.22600000			0					3.0379200			0
EPIC 212587672 c	23.22590000	0.00290000	-0.00270000	0	2.310	0.160	-0.350	0	3.3360000	0.2160000	-0.2880000	0
EPIC 212587672 c	23.22855500	0.00006800	-0.00007100	0	2.320	0.190	-0.120	0	3.2500000	0.1300000	-0.0900000	0
EPIC 212587672 c	23.22600000	0.00302200	-0.00315600	0	2.300	0.300	-0.200	0	3.2304000	0.1896000	-0.1608000	0
EPIC 212624936 b	0.57865700	0.00001600	-0.00001600	0	1.200	0.300	-0.300	0				
EPIC 212624936 c	11.81387000	0.00085000	-0.00093000	0	2.670	0.430	-0.390	0	2.0640000	0.1200000	-0.1920000	0
EPIC 212624936 c	11.81143700	0.00011000	-0.00011000	0	2.300	0.500	-0.500	0				
EPIC 212737443 b	13.60300000			0					2.7600000			0
EPIC 212737443 b	13.60300000	0.00130000	-0.00130000	0	2.586	0.126	-0.126	0	2.9760000	0.1200000	-0.1200000	0
EPIC 212737443 b	13.60697954			0					3.4980000	0.3700000	-0.3700000	0
EPIC 212737443 c	65.55000000	0.00890000	-0.00890000	0	2.690	0.146	-0.146	0	4.6080000	0.2400000	-0.2400000	0
EPIC 220492298 b	0.76240600	0.00015000	-0.00015000	0	0.990	0.100	-0.100	0				
EPIC 220554210 c	0.70531000	0.00003700	-0.00003700	0	1.600	0.100	-0.100	0				
